Source,Target,ExpectedCode,FirstStatus,FinalUrl,Ok,Error
http://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/e/designer-series-wood-burnin_1.jpg,https://www.ibuyfireplaces.com,301,301,https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/e/designer-series-wood-burnin_1.jpg,False,"Очікуваний фінальний URL https://www.ibuyfireplaces.com, отримано https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/e/designer-series-wood-burnin_1.jpg."
http://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/r/drt2000_1_1.jpg,https://www.ibuyfireplaces.com,301,301,https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/r/drt2000_1_1.jpg,False,"Очікуваний фінальний URL https://www.ibuyfireplaces.com, отримано https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/r/drt2000_1_1.jpg."
http://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/r/drl6500.jpg,https://www.ibuyfireplaces.com,301,301,https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/r/drl6500.jpg,False,"Очікуваний фінальний URL https://www.ibuyfireplaces.com, отримано https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/r/drl6500.jpg."
http://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/r/drt3000_sc.jpg,https://www.ibuyfireplaces.com,301,301,https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/r/drt3000_sc.jpg,False,"Очікуваний фінальний URL https://www.ibuyfireplaces.com, отримано https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/r/drt3000_sc.jpg."
http://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/r/drt4500_3.jpg,https://www.ibuyfireplaces.com,301,301,https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/r/drt4500_3.jpg,False,"Очікуваний фінальний URL https://www.ibuyfireplaces.com, отримано https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/d/r/drt4500_3.jpg."
http://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/d/gd82-heritage-arch-room-nap_1.jpg,https://www.ibuyfireplaces.com,301,301,https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/d/gd82-heritage-arch-room-nap_1.jpg,False,"Очікуваний фінальний URL https://www.ibuyfireplaces.com, отримано https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/d/gd82-heritage-arch-room-nap_1.jpg."
http://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/d/gdizc4_1.jpg,https://www.ibuyfireplaces.com,301,301,https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/d/gdizc4_1.jpg,False,"Очікуваний фінальний URL https://www.ibuyfireplaces.com, отримано https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/d/gdizc4_1.jpg."
http://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/h/ghp0049.jpg,https://www.ibuyfireplaces.com,301,301,https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/h/ghp0049.jpg,False,"Очікуваний фінальний URL https://www.ibuyfireplaces.com, отримано https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/h/ghp0049.jpg."
http://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/h/ghp0051_1.jpg,https://www.ibuyfireplaces.com,301,301,https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/h/ghp0051_1.jpg,False,"Очікуваний фінальний URL https://www.ibuyfireplaces.com, отримано https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/h/ghp0051_1.jpg."
http://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/h/ghp0050.jpg,https://www.ibuyfireplaces.com,301,301,https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/h/ghp0050.jpg,False,"Очікуваний фінальний URL https://www.ibuyfireplaces.com, отримано https://www.ibuyfireplaces.com/media/catalog/product/cache/1/image/1200x1200/9df78eab33525d08d6e5fb8d27136e95/g/h/ghp0050.jpg."
